date,jq_count,local_count,overlap_count,jaccard,overlap,only_jq,only_local
2019-01-02,6,6,3,0.3333333333333333,"000100,600104,600196","000651,600016,601166","600019,600028,600690"
2019-02-20,6,6,3,0.3333333333333333,"000100,000876,600196","000709,600016,601877","600019,600104,600690"
2019-04-03,6,6,2,0.2,"000100,600104","000725,000876,300274,600016","000895,600019,600690,601006"
2019-05-21,6,6,2,0.2,"000100,600104","000895,300274,600000,601166","000709,600019,600690,601006"
2019-07-03,6,6,3,0.3333333333333333,"000100,300274,600104","000895,600000,601166","600019,600690,601006"
2019-08-14,6,6,3,0.3333333333333333,"000100,300274,600104","000625,000776,601877","000876,600019,600690"
2019-09-26,6,6,2,0.2,"000100,600104","000709,000895,300274,600028","600019,600050,600690,601985"
2019-11-14,6,6,2,0.2,"000100,600104","000895,600000,601012,601668","300274,600019,600690,601877"
2019-12-26,6,6,3,0.3333333333333333,"000100,600019,600104","000895,601012,601668","300274,600690,601877"
2020-02-17,6,6,3,0.3333333333333333,"600025,600104,600690","600019,601166,601668","000709,000725,601877"
2020-03-30,6,6,3,0.3333333333333333,"000100,600104,600690","000538,601166,601668","000725,300274,300433"
2020-05-15,6,6,2,0.2,"600104,600690","600016,600019,601166,601668","000709,000725,300274,300433"
2020-06-30,6,6,3,0.3333333333333333,"600019,600104,600690","600016,601166,601668","000709,000725,300274"
2020-08-11,6,6,2,0.2,"000725,600104","600016,600690,601166,601668","000709,000776,300433,300498"
2020-09-22,6,6,3,0.3333333333333333,"000725,600019,600104","600000,600690,601328","000709,300433,601111"
2020-11-11,6,6,2,0.2,"000157,601668","600000,600019,600028,601328","000709,000725,300433,601111"
2020-12-23,6,6,2,0.2,"000725,601668","600019,600028,600690,601328","000157,000709,300433,601111"
2021-02-04,6,6,2,0.2,"601006,601668","000651,600019,600028,601328","000725,300498,600104,601985"
2021-03-25,6,6,2,0.2,"600196,601668","000651,600028,600887,601328","000100,000725,600104,601006"
2021-05-12,6,6,4,0.5,"000725,600104,601006,601668","600019,600028","000100,601985"
2021-06-24,6,6,5,0.7142857142857143,"000725,600028,600104,601006,601668",600019,000100
2021-08-05,6,6,5,0.7142857142857143,"000725,600019,600104,601006,601668",000651,000100
2021-09-16,6,6,4,0.5,"000100,000725,600028,601006","600016,600887","601668,601985"
2021-11-08,6,6,5,0.7142857142857143,"000100,000725,600019,601006,601668",000651,600028
2021-12-20,6,6,4,0.5,"000100,000725,601006,601668","000651,600019","600028,601985"
2022-02-08,6,6,4,0.5,"000100,000725,600019,601668","000651,601006","000876,600028"
2022-03-22,6,6,4,0.5,"000100,000725,600019,601668","000651,601006","000876,600028"
2022-05-10,6,6,4,0.5,"000100,000725,600438,601668","600196,601006","600019,600028"
2022-06-22,6,6,3,0.3333333333333333,"000100,000725,601668","000651,600196,600438","000876,600019,600028"
2022-08-03,6,6,3,0.3333333333333333,"000100,000725,601668","000651,600438,601006","600019,600028,601985"
2022-09-15,6,6,4,0.5,"000100,000725,000876,601668","601006,601985","600019,600438"
2022-11-03,6,6,3,0.3333333333333333,"000725,600438,601985","000651,002821,600887","000876,600019,601668"
2022-12-15,6,6,3,0.3333333333333333,"000725,600438,601985","000651,600104,600887","000100,000876,601668"
2023-02-03,6,6,4,0.5,"000725,600028,600104,600438","000651,600887","600019,601985"
2023-03-17,6,6,3,0.3333333333333333,"000725,600438,601985","000651,002821,600887","000100,002460,600019"
2023-05-04,6,6,4,0.5,"000100,000725,600438,601668","000651,600104","601166,601985"
2023-06-15,6,6,3,0.3333333333333333,"600438,601166,601668","000100,600196,601111","000725,600019,601985"
2023-07-31,6,6,3,0.3333333333333333,"600438,601166,601668","000100,600196,601111","000725,600019,601985"
2023-09-11,6,6,2,0.2,"600104,600438","000100,000651,002475,601006","000725,600019,601668,601985"
2023-10-31,6,6,3,0.3333333333333333,"600438,601668,601985","002241,002460,601006","000725,600019,600028"
2023-12-12,6,6,2,0.2,"600438,601668","002241,002460,600887,601166","000725,002594,600019,600104"
2024-01-24,6,6,2,0.2,"002594,600104","002241,002460,600438,601668","000651,600019,600028,601985"
2024-03-14,6,6,1,0.09090909090909091,600104,"002129,002241,002460,600438,601668","000100,000651,002594,600887,601985"
2024-04-29,6,6,2,0.2,"600104,600887","000895,002459,600016,600438","000100,000651,002594,601985"
2024-06-14,6,6,1,0.09090909090909091,600887,"000651,000725,600016,601006,601688","000100,002241,002594,600104,601985"
2024-07-26,6,6,2,0.2,"002459,600887","000651,300433,600016,601688","000100,000725,002594,600104"
2024-09-06,6,6,3,0.3333333333333333,"000725,600104,600887","600016,601006,601668","000100,002594,601166"
2024-10-29,6,6,3,0.3333333333333333,"000725,600104,600887","600016,601668,601688","000100,002594,600019"
2024-12-10,6,6,2,0.2,"000725,600104","600016,601006,601668,601688","000100,002594,600019,601985"
2025-01-22,6,6,2,0.2,"600104,603259","600016,601006,601668,601688","000100,000725,002594,600887"
2025-03-13,6,6,2,0.2,"000725,600104","600016,600690,601668,601688","000100,600028,600887,603259"
2025-04-25,6,6,2,0.2,"000725,600104","000538,002304,600016,601006","000100,002475,600887,603259"
2025-06-12,6,6,2,0.2,"000725,603259","002459,600016,600050,601668","000100,002241,002475,600028"
2025-07-24,6,6,2,0.2,"000725,600050","000625,002459,600016,601668","000100,002475,600887,603259"
2025-09-04,6,6,2,0.2,"000651,000725","000625,600016,600438,600690","000100,002475,600887,601166"
2025-10-24,6,6,2,0.2,"000725,600887","000651,600016,600690,601006","000100,002594,600019,601166"
2025-12-05,6,6,2,0.2,"000651,000725","000625,600016,601006,601668","000100,002594,600104,603259"
